DATE,A191RI1Q225SBEA_NBD19470401
1947-04-01,100.00000
1947-07-01,118.96552
1947-10-01,175.86207
1948-01-01,55.17241
1948-04-01,63.79310
1948-07-01,131.03448
1948-10-01,20.68966
1949-01-01,-36.20690
1949-04-01,-68.96552
1949-07-01,-31.03448
1949-10-01,0.00000
1950-01-01,-10.34483
1950-04-01,24.13793
1950-07-01,155.17241
1950-10-01,132.75862
1951-01-01,262.06897
1951-04-01,46.55172
1951-07-01,3.44828
1951-10-01,79.31034
1952-01-01,-3.44828
1952-04-01,8.62069
1952-07-01,79.31034
1952-10-01,18.96552
1953-01-01,1.72414
1953-04-01,13.79310
1953-07-01,29.31034
1953-10-01,12.06897
1954-01-01,22.41379
1954-04-01,6.89655
1954-07-01,8.62069
1954-10-01,18.96552
1955-01-01,32.75862
1955-04-01,27.58621
1955-07-01,48.27586
1955-10-01,68.96552
1956-01-01,70.68966
1956-04-01,41.37931
1956-07-01,87.93103
1956-10-01,27.58621
1957-01-01,96.55172
1957-04-01,48.27586
1957-07-01,41.37931
1957-10-01,5.17241
1958-01-01,75.86207
1958-04-01,20.68966
1958-07-01,43.10345
1958-10-01,32.75862
1959-01-01,15.51724
1959-04-01,10.34483
1959-07-01,27.58621
1959-10-01,27.58621
1960-01-01,27.58621
1960-04-01,17.24138
1960-07-01,24.13793
1960-10-01,20.68966
1961-01-01,15.51724
1961-04-01,15.51724
1961-07-01,17.24138
1961-10-01,22.41379
1962-01-01,36.20690
1962-04-01,12.06897
1962-07-01,13.79310
1962-10-01,13.79310
1963-01-01,29.31034
1963-04-01,12.06897
1963-07-01,8.62069
1963-10-01,56.89655
1964-01-01,22.41379
1964-04-01,15.51724
1964-07-01,27.58621
1964-10-01,31.03448
1965-01-01,34.48276
1965-04-01,32.75862
1965-07-01,27.58621
1965-10-01,48.27586
1966-01-01,44.82759
1966-04-01,56.89655
1966-07-01,67.24138
1966-10-01,58.62069
1967-01-01,29.31034
1967-04-01,34.48276
1967-07-01,67.24138
1967-10-01,77.58621
1968-01-01,77.58621
1968-04-01,74.13793
1968-07-01,68.96552
1968-10-01,100.00000
1969-01-01,72.41379
1969-04-01,89.65517
1969-07-01,100.00000
1969-10-01,91.37931
1970-01-01,100.00000
1970-04-01,98.27586
1970-07-01,56.89655
1970-10-01,93.10345
1971-01-01,106.89655
1971-04-01,93.10345
1971-07-01,70.68966
1971-10-01,58.62069
1972-01-01,106.89655
1972-04-01,43.10345
1972-07-01,67.24138
1972-10-01,89.65517
1973-01-01,81.03448
1973-04-01,108.62069
1973-07-01,137.93103
1973-10-01,141.37931
1974-01-01,134.48276
1974-04-01,168.96552
1974-07-01,212.06897
1974-10-01,212.06897
1975-01-01,162.06897
1975-04-01,105.17241
1975-07-01,124.13793
1975-10-01,118.96552
1976-01-01,74.13793
1976-04-01,70.68966
1976-07-01,91.37931
1976-10-01,127.58621
1977-01-01,113.79310
1977-04-01,100.00000
1977-07-01,86.20690
1977-10-01,153.44828
1978-01-01,101.72414
1978-04-01,136.20690
1978-07-01,120.68966
1978-10-01,144.82759
1979-01-01,129.31034
1979-04-01,175.86207
1979-07-01,155.17241
1979-10-01,131.03448
1980-01-01,150.00000
1980-04-01,170.68966
1980-07-01,158.62069
1980-10-01,186.20690
1981-01-01,189.65517
1981-04-01,141.37931
1981-07-01,132.75862
1981-10-01,122.41379
1982-01-01,96.55172
1982-04-01,91.37931
1982-07-01,100.00000
1982-10-01,72.41379
1983-01-01,53.44828
1983-04-01,51.72414
1983-07-01,74.13793
1983-10-01,53.44828
1984-01-01,70.68966
1984-04-01,60.34483
1984-07-01,62.06897
1984-10-01,51.72414
1985-01-01,68.96552
1985-04-01,44.82759
1985-07-01,41.37931
1985-10-01,39.65517
1986-01-01,34.48276
1986-04-01,25.86207
1986-07-01,27.58621
1986-10-01,37.93103
1987-01-01,44.82759
1987-04-01,48.27586
1987-07-01,53.44828
1987-10-01,55.17241
1988-01-01,55.17241
1988-04-01,67.24138
1988-07-01,84.48276
1988-10-01,60.34483
1989-01-01,72.41379
1989-04-01,74.13793
1989-07-01,51.72414
1989-10-01,50.00000
1990-01-01,75.86207
1990-04-01,79.31034
1990-07-01,60.34483
1990-10-01,51.72414
1991-01-01,68.96552
1991-04-01,51.72414
1991-07-01,55.17241
1991-10-01,41.37931
1992-01-01,25.86207
1992-04-01,41.37931
1992-07-01,34.48276
1992-10-01,48.27586
1993-01-01,39.65517
1993-04-01,41.37931
1993-07-01,41.37931
1993-10-01,37.93103
1994-01-01,32.75862
1994-04-01,32.75862
1994-07-01,39.65517
1994-10-01,37.93103
1995-01-01,37.93103
1995-04-01,32.75862
1995-07-01,34.48276
1995-10-01,32.75862
1996-01-01,32.75862
1996-04-01,29.31034
1996-07-01,22.41379
1996-10-01,37.93103
1997-01-01,41.37931
1997-04-01,13.79310
1997-07-01,31.03448
1997-10-01,22.41379
1998-01-01,10.34483
1998-04-01,15.51724
1998-07-01,29.31034
1998-10-01,18.96552
1999-01-01,22.41379
1999-04-01,25.86207
1999-07-01,24.13793
1999-10-01,37.93103
2000-01-01,46.55172
2000-04-01,43.10345
2000-07-01,41.37931
2000-10-01,37.93103
2001-01-01,46.55172
2001-04-01,41.37931
2001-07-01,27.58621
2001-10-01,22.41379
2002-01-01,22.41379
2002-04-01,24.13793
2002-07-01,32.75862
2002-10-01,39.65517
2003-01-01,34.48276
2003-04-01,24.13793
2003-07-01,39.65517
2003-10-01,43.10345
2004-01-01,50.00000
2004-04-01,56.89655
2004-07-01,44.82759
2004-10-01,53.44828
2005-01-01,55.17241
2005-04-01,50.00000
2005-07-01,63.79310
2005-10-01,56.89655
2006-01-01,50.00000
2006-04-01,60.34483
2006-07-01,48.27586
2006-10-01,24.13793
2007-01-01,67.24138
2007-04-01,48.27586
2007-07-01,37.93103
2007-10-01,27.58621
2008-01-01,25.86207
2008-04-01,34.48276
2008-07-01,51.72414
2008-10-01,17.24138
2009-01-01,-5.17241
2009-04-01,-12.06897
2009-07-01,8.62069
2009-10-01,22.41379
2010-01-01,20.68966
2010-04-01,34.48276
2010-07-01,20.68966
2010-10-01,39.65517
2011-01-01,36.20690
2011-04-01,46.55172
2011-07-01,41.37931
2011-10-01,8.62069
2012-01-01,41.37931
2012-04-01,29.31034
2012-07-01,37.93103
2012-10-01,34.48276
2013-01-01,27.58621
2013-04-01,15.51724
2013-07-01,34.48276
2013-10-01,36.20690
2014-01-01,25.86207
2014-04-01,39.65517
2014-07-01,29.31034
2014-10-01,6.89655
2015-01-01,-3.44828
2015-04-01,39.65517
2015-07-01,18.96552
2015-10-01,0.00000
2016-01-01,-5.17241
2016-04-01,46.55172
2016-07-01,17.24138
2016-10-01,32.75862
2017-01-01,36.20690
2017-04-01,18.96552
2017-07-01,36.20690
2017-10-01,43.10345
2018-01-01,44.82759
2018-04-01,50.00000
2018-07-01,29.31034
2018-10-01,29.31034
2019-01-01,24.13793
2019-04-01,34.48276
2019-07-01,20.68966
2019-10-01,22.41379
2020-01-01,32.75862
2020-04-01,-27.58621
2020-07-01,62.06897
2020-10-01,48.27586
2021-01-01,91.37931
2021-04-01,106.89655
2021-07-01,103.44828
2021-10-01,122.41379
2022-01-01,144.82759
2022-04-01,156.89655
2022-07-01,77.58621
2022-10-01,67.24138
2023-01-01,67.24138
2023-04-01,29.31034
2023-07-01,56.89655
2023-10-01,29.31034
2024-01-01,53.44828
